respondent_id,true_segment,age_group,gender,city_tier,occupation,income_bracket,education,cricket_role,practice_days,data_importance,fantasy_cricket,pod_interest,monthly_rec_spend,psm_too_cheap,psm_reasonable,psm_expensive,psm_too_expensive,membership_wtp,digital_spend,food_delivery_freq,influence_source,tech_adoption,distance_tolerance,preferred_timeslot,nps_score,pod_conversion,pod_conversion_binary,realistic_monthly_spend,use_academy,use_boxcricket,use_bowlingmachine,use_homenet,use_videoanalysis,use_mobilegame,use_gym,disc_freetrial,disc_buy5get1,disc_student,disc_family,disc_offpeak,disc_referral,disc_academy,disc_corporate,feat_ai,feat_bowlingmachine,feat_batspeed,feat_footwork,feat_videoreplay,feat_leaderboard,feat_progressreport,feat_appbooking,brand_mrf,brand_sg,brand_ss,brand_kookaburra,brand_graynicolls,brand_adidasnike,brand_decathlon,brand_nopref,addon_smartbat,addon_wearables,addon_aicoaching,addon_highlights,addon_fitness,addon_merch,stream_hotstar,stream_jiocinema,stream_netflix,stream_prime,stream_youtube,stream_sonyliv,act_gym,act_yoga,act_othersport,act_swimming,act_videogaming,act_running,past_boxcricket,past_trampoline,past_vr,past_bowling,past_gokarting,past_fitclass,past_academy,past_golf,frust_nodata,frust_coachattention,frust_timing,frust_crowded,frust_distance,frust_cost,frust_equipment,frust_notracking,bar_price,bar_location,bar_humancoach,bar_aidistrust,bar_time,bar_notserious,bar_academy,bar_safety,bar_social,hh_self,hh_child,hh_spouse,hh_sibling,hh_parent
R0001,Corporate_Fan,36-50,Female,Metro,Salaried govt,75K-150K,Bachelors,Occasional,1-2,3,Aware not using,3,1001-2500,100-149,250-299,600+,400-499,Up to 499,501-1000,1-2/week,Friends/Teammates,Early majority,Within 1km,Evening,6,Maybe,,1660.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
R0002,Recreational_Adult,19-25,Male,Metro,Homemaker,75K-150K,Bachelors,Regular,1-2,2,Active,1,1001-2500,50-99,250-299,200-299,500-599,Up to 499,501-1000,1-2/week,Self,Early majority,Up to 10km,Evening,7,Yes - definitely,1.0,1902.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,1,0,0,1
R0003,Corporate_Fan,50+,Female,Tier 1,Salaried private,Below 20K,12th/Diploma,Occasional,0,4,Aware not using,3,501-1000,100-149,150-199,600+,300-399,Up to 499,501-1000,1-2/week,Coach,Early majority,Up to 10km,Night,10,Yes - if price right,1.0,5310.0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,0,0,1,0,0,1,1,0,0,0
R0004,Semi_Pro,19-25,Male,Metro,School student,Below 20K,Masters+,Regular,1-2,5,Occasional,5,1001-2500,100-149,300-349,400-499,500-599,500-999,1-200,3-4/week,Self,Early adopter,Up to 5km,Early morning,8,Yes - definitely,1.0,1549.0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1.0,,0.0,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0
R0005,Rising_Star,Under 15,Male,Metro,Salaried private,20K-40K,Up to 10th,Fan only,1-2,2,Occasional,5,501-1000,Below 50,300-349,200-299,600-799,500-999,201-500,3-4/week,Parents/Family,Late majority,Up to 3km,Early morning,10,Maybe,,411.0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0
R0006,Sceptic,36-50,Male,Rural,Self-employed,Above 150K,12th/Diploma,Not interested,3-4,2,Aware not using,2,1-500,Below 50,150-199,200-299,400-499,Would not subscribe,501-1000,1-2/week,Parents/Family,Tech avoider,Within 1km,Morning,3,No,0.0,226.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,0.0,1,1,0,0,0,1,1,0,0,0
R0007,Corporate_Fan,26-35,Male,Tier 1,Salaried private,40K-75K,Bachelors,Regular,1-2,3,Active,3,2501-5000,150-199,250-299,300-399,800+,1000-1999,1-200,1-2/week,Friends/Teammates,Early majority,Up to 3km,Evening,5,Yes - definitely,1.0,3550.0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
R0008,Corporate_Fan,19-25,Male,Tier 2,Self-employed,Above 150K,Masters+,Competitive,0,3,Active,2,1001-2500,150-199,300-349,500-599,400-499,Would not subscribe,501-1000,Daily,Self,Laggard,Up to 5km,Evening,9,Yes - if price right,1.0,2228.0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,0,0,1,0,1,0,0
R0009,Rising_Star,Under 15,Male,Tier 2,Salaried govt,Below 20K,Bachelors,Coach,3-4,5,Not interested,4,1-500,50-99,200-249,400-499,600-799,Up to 499,201-500,Daily,Parents/Family,Early adopter,Any distance,Morning,8,Yes - if price right,1.0,345.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,,,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,1,0
R0010,Recreational_Adult,26-35,Male,Tier 2,Salaried private,20K-40K,Bachelors,Regular,3-4,4,Active,2,501-1000,200-249,300-349,300-399,500-599,Would not subscribe,201-500,1-2/week,Self,Late majority,Within 1km,Evening,7,Unlikely,0.0,897.0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0
